path,title,h1,status,owner,audience,source_of_truth,last_reviewed,review_interval_days,line_count,byte_count,risky_terms,broken_local_links,has_front_matter
docs/adr/ADR-019-roadmap-after-production-readiness-baseline.md,ADR-019 — Roadmap After Production Readiness Baseline,ADR-019 — Roadmap After Production Readiness Baseline,,,,,,,65,1903,,0,False
docs/adr/ADR-020-final-release-blocker-checklist.md,ADR-020: Final Release-Blocker Checklist,ADR-020: Final Release-Blocker Checklist,,,,,,,29,1096,,0,False
docs/adr/ADR-021-backend-consolidation-evidence-first.md,ADR-021: Backend Consolidation Must Be Evidence-First,ADR-021: Backend Consolidation Must Be Evidence-First,,,,,,,41,1537,,0,False
docs/adr/ADR-022-audit-consent-table-ownership-options.md,ADR-022: Audit and Consent Table Ownership Options,ADR-022: Audit and Consent Table Ownership Options,,,,,,,53,2022,,0,False
docs/adr/ADR-023-frontend-upgrade-react-19-next-15.md,ADR-023: Frontend Upgrade - React 19 + Next 15,ADR-023: Frontend Upgrade - React 19 + Next 15,,,,,,,61,2836,,0,False
docs/adr/ADR-024-frontend-rollback-plan.md,ADR-024: Frontend Rollback Plan,ADR-024: Frontend Rollback Plan,,,,,,,147,4386,,0,False
docs/adr/ADR-025-frontend-upgrade-backlog-metadata.md,ADR-025: Frontend Upgrade Backlog Metadata,ADR-025: Frontend Upgrade Backlog Metadata,,,,,,,205,5608,all tests pass,1,False
docs/adr/ADR-026-python-version-alignment.md,ADR-026 — Phase 4 Python Version Alignment,ADR-026 — Phase 4 Python Version Alignment,,,,,,,44,2191,,0,False
docs/adr/ADR-027-observability-endpoint-access-control.md,ADR-027 — Observability Endpoint Access Control,ADR-027 — Observability Endpoint Access Control,,,,,,,65,2183,,0,False
docs/adr/ADR-028-authoritative-deployment-target.md,ADR-028 — Authoritative Production Deployment Target,ADR-028 — Authoritative Production Deployment Target,,,,,,,83,2798,,0,False
docs/adr/ADR-029-supabase-auth-strategy.md,ADR-029: Supabase Auth Strategy,ADR-029: Supabase Auth Strategy,,,,,,,53,1833,,0,False
docs/adr/ADR-030-content-review-governance.md,ADR-030 — Educator Consensus and Content Governance,ADR-030 — Educator Consensus and Content Governance,,,,,,,55,2178,,0,False
